,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
1643,Montana,2017-09-01T00:00:00.000,237886.8243337801,6.690275325424409,3.1406439854191985,0.8513643509888635
161,Virginia,2015-04-01T00:00:00.000,235132.35761850743,5.539353859993753,4.611482381530984,0.8513109080069632
4796,North Dakota,2022-12-01T00:00:00.000,259068.75986306847,5.920192987940027,1,0.8512923582704502
5918,Missouri,2024-11-01T00:00:00.000,245055.5796844051,4.755505630228072,5.431652490886999,0.8512560162135993
1743,Montana,2017-11-01T00:00:00.000,239704.2086303092,6.690275325424409,3.1406439854191985,0.851219803868735
361,Virginia,2015-08-01T00:00:00.000,237726.47068651344,5.539353859993753,4.611482381530984,0.8511819973490714
1693,Montana,2017-10-01T00:00:00.000,238855.7487152,6.690275325424409,3.1406439854191985,0.8511525478418546
3405,Illinois,2020-09-01T00:00:00.000,197274.02273416208,5.358720940699641,7.296172539489672,0.8511207289007734
699,Wyoming,2016-02-01T00:00:00.000,228236.84852942525,8.393929876542643,4.562272174969624,0.8511134217543378
3596,North Dakota,2020-12-01T00:00:00.000,231879.16808093025,5.920192987940027,1,0.851106276971348
5718,Missouri,2024-07-01T00:00:00.000,242340.79139634373,4.755505630228072,5.431652490886999,0.8511038119578707
4354,Pennsylvania,2022-04-01T00:00:00.000,239722.58974555423,5.384719765615046,3.0258201701093563,0.8510993787615171
261,Virginia,2015-06-01T00:00:00.000,236248.29606164983,5.539353859993753,4.611482381530984,0.8510954563457883
3458,North Carolina,2020-10-01T00:00:00.000,225096.2294575844,5.092177414770958,9.557108140947754,0.8510757735548506
5916,Indiana,2024-11-01T00:00:00.000,237048.6430546284,3.888536857320105,3.408566221142163,0.8510745050893351
3505,Illinois,2020-11-01T00:00:00.000,202314.8853141357,5.358720940699641,7.296172539489672,0.8510656640840054
61,Virginia,2015-02-01T00:00:00.000,234308.35187433145,5.539353859993753,4.611482381530984,0.8510584076633907
4272,South Carolina,2022-02-01T00:00:00.000,256775.48403862337,4.122332413168806,8.184690157958688,0.8510305716726774
3969,Wisconsin,2021-08-01T00:00:00.000,249361.65131239188,5.093094682170886,1.3636087484811668,0.8510198302296557
4804,Pennsylvania,2023-01-01T00:00:00.000,244541.65041994947,5.384719765615046,3.0258201701093563,0.8509591093068717
4245,South Dakota,2022-01-01T00:00:00.000,262836.348948808,4.460629002468522,2.3532806804374244,0.8509563347201863
1099,Wyoming,2016-10-01T00:00:00.000,227301.2822750936,8.393929876542643,4.562272174969624,0.8509286826980723
949,Wyoming,2016-07-01T00:00:00.000,228576.2621711389,8.393929876542643,4.562272174969624,0.8509268537742938
5766,Indiana,2024-08-01T00:00:00.000,235181.62493388235,3.888536857320105,3.408566221142163,0.8509211515050281
3604,Pennsylvania,2021-01-01T00:00:00.000,208895.4930641896,5.384719765615046,3.0258201701093563,0.8509016734843572
